text,modality_id,id
алгоритм,1,0
распознавание,1,1
основать,1,2
построение,1,3
метрический,1,4
закономерность,1,5
сенький,1,6
ранее,1,7
быть,1,8
предложить,1,9
связанный,1,10
решение,1,11
задача,1,12
средство,1,13
анализ,1,14
дать,1,15
поиск,1,16
пониматься,1,17
подобласть,1,18
признаковый,1,19
пространство,1,20
содержимый,1,21
объект,1,22
один,1,23
класс,1,24
полный,1,25
преимущественно,1,26
частичный,1,27
геометрический,1,28
форма,1,29
определяться,1,30
заранее,1,31
задать,1,32
модель,1,33
наиболее,1,34
часто,1,35
использовать,1,36
являться,1,37
логический,1,38
который,1,39
искомое,1,40
область,1,41
иметь,1,42
рассматриваться,1,43
формировать,1,44
помощь,1,45
линейный,1,46
граница,1,47
произвольный,1,48
ориентация,1,49
координатный,1,50
ось,1,51
несомненно,1,52
априорный,1,53
задание,1,54
существенный,1,55
ограничение,1,56
затруднять,1,57
выявление,1,58
реально,1,59
существующий,1,60
удовлетворять,1,61
сделать,1,62
предположение,1,63
связь,1,64
предложный,1,65
новый,1,66
далее,1,67
называться,1,68
задавать,1,69
окрестность,1,70
некоторый,1,71
набор,1,72
точка,1,73
обучать,1,74
выборка,1,75
принадлежащий,1,76
минимальный,1,77
включение,1,78
использоваться,1,79
понятие,1,80
смежность,1,81
метрика,1,82
пересечение,1,83
назвать,1,84
смежный,1,85
существовать,1,86
такой,1,87
одновременно,1,88
выполняться,1,89
неравенство,1,90
смысл,1,91
отношение,1,92
состоять,1,93
обеспечивать,1,94
отсутствие,1,95
другой,1,96
мочь,1,97
сопоставить,1,98
граф,1,99
вершина,1,100
ставиться,1,101
соответствие,1,102
ребро,1,103
соответствующий,1,104
настоящий,1,105
исследование,1,106
компонента,1,107
связность,1,108
принадлежать,1,109
пара,1,110
разработать,1,111
голосование,1,112
представительный,1,113
система,1,114
строиться,1,115
тройка,1,116
признак,1,117
включаться,1,118
менее,1,119
число,1,120
вычисление,1,121
оценка,1,122
формула,1,123
суммирование,1,124
вестись,1,125
всевозможный,1,126
войти,1,127
эффективность,1,128
проводиться,1,129
совокупность,1,130
реальный,1,131
прикладной,1,132
провести,1,133
показать,1,134
достаточно,1,135
высокий,1,136
точность,1,137
контрольный,1,138
информация,1,139
сравнимый,1,140
давать,1,141
альтернативный,1,142
подход,1,143
метод,1,144
статистически,1,145
взвесить,1,146
синдром,1,147
опорный,1,148
вектор,1,149
можно,1,150
вывод,1,151
перспективность,1,152
необходимость,1,153
дальнейший,1,154
направление,1,155
работа,1,156
выполнить,1,157
поддержка,1,158
проект,1,159
математический,1,160
программный,1,161
применение,1,162
москва,1,163
фазис,1,164
нечёткий,1,165
норма,1,166
хронический,1,167
патология,1,168
химический,1,169
физик,1,170
различный,1,171
тип,1,172
докл,1,173
всеросс,1,174
конф,1,175
ммро,1,176
подобный,1,177
изображение,1,178
больший,1,179
база,1,180
простой,1,181
вид,1,182
контур,1,183
предмет,1,184
растровый,1,185
каждый,1,186
ставить,1,187
двоичный,1,188
дескриптор,1,189
однозначно,1,190
описывать,1,191
етот,1,192
построить,1,193
образ,1,194
предлагать,1,195
получить,1,196
любой,1,197
поворот,1,198
угол,1,199
изменение,1,200
масштаб,1,201
кадрирование,1,202
случай,1,203
освещённость,1,204
разумный,1,205
предел,1,206
должный,1,207
найтись,1,208
совпадение,1,209
часть,1,210
общий,1,211
составлять,1,212
более,1,213
половина,1,214
подробно,1,215
описать,1,216
нахождение,1,217
характерный,1,218
использование,1,219
единственный,1,220
настроечный,1,221
параметр,1,222
вначале,1,223
находиться,1,224
крайний,1,225
конец,1,226
главный,1,227
наибольший,1,228
диаметр,1,229
следующий,1,230
заключаться,1,231
обход,1,232
поставить,1,233
условие,1,234
сумма,1,235
расстояние,1,236
первый,1,237
испытуемый,1,238
второй,1,239
максимальный,1,240
высота,1,241
опустить,1,242
основание,1,243
образовать,1,244
треугольник,1,245
длина,1,246
превышать,1,247
некий,1,248
наперёд,1,249
величина,1,250
обычно,1,251
вспомогательный,1,252
соседний,1,253
браться,1,254
относительный,1,255
наименьший,1,256
сторона,1,257
прилегать,1,258
единичный,1,259
квадрат,1,260
изображать,1,261
стоящий,1,262
координата,1,263
разбиваться,1,264
клетка,1,265
становиться,1,266
единица,1,267
разрядный,1,268
расположить,1,269
разный,1,270
маленький,1,271
попасть,1,272
несколько,1,273
качество,1,274
эффект,1,275
сказываться,1,276
проявляться,1,277
одинаковый,1,278
заноситься,1,279
подвергнуть,1,280
аффинный,1,281
преобразование,1,282
количество,1,283
совпадать,1,284
элемент,1,285
цель,1,286
применить,1,287
разработка,1,288
совмещение,1,289
рамка,1,290
представить,1,291
осуществляться,1,292
основа,1,293
земля,1,294
космос,1,295
необходимый,1,296
совмещать,1,297
основный,1,298
требование,1,299
постановка,1,300
проблема,1,301
сформулировать,1,302
иметься,1,303
снимка,1,304
участок,1,305
земной,1,306
поверхность,1,307
снятой,1,308
цифровой,1,309
камера,1,310
время,1,311
отличаться,1,312
мера,1,313
раз,1,314
освещение,1,315
средний,1,316
снимок,1,317
съёмка,1,318
перпендикулярный,1,319
градус,1,320
повернуть,1,321
требоваться,1,322
определить,1,323
какой,1,324
подвергнуться,1,325
фиксация,1,326
появление,1,327
исчезновение,1,328
дополнительный,1,329
существование,1,330
возможность,1,331
определять,1,332
исходить,1,333
рельеф,1,334
последующий,1,335
вычленение,1,336
определение,1,337
