prob_tw,term_id,prob_wt,modality_id,topic_id
0.0238914,0,0.00422035,1,1
0.075065,0,0.0135474,1,2
0.238639,0,0.0423394,1,3
0.0213003,0,0.00365943,1,4
0.152524,0,0.021128,1,5
0.139679,0,0.0247841,1,6
0.026843,0,0.00462714,1,7
0.0379963,0,0.00423759,1,8
0.0749622,0,0.0118548,1,9
0.0183697,0,0.00289217,1,10
0.00996699,0,0.00180209,1,11
0.00143141,0,0.000242873,1,12
0.000804263,0,9.44002e-05,1,13
0.174829,0,0.0299674,1,14
0.00369898,0,0.000573242,1,15
0.100494,1,0.00692332,1,1
0.0114205,1,0.000803844,1,2
0.0844999,1,0.00584691,1,3
0.00249587,1,0.000167231,1,4
0.0193744,1,0.00104669,1,5
0.0338899,1,0.00234519,1,6
0.00937909,1,0.000630536,1,7
0.060521,1,0.00263239,1,8
0.00365473,1,0.000225412,1,9
0.0285023,1,0.00175013,1,10
0.00105351,1,7.42881e-05,1,11
0.00130316,1,8.62348e-05,1,12
0.0944721,1,0.0043246,1,13
0.0317326,1,0.00212133,1,14
0.517207,1,0.0312599,1,15
0.0189469,2,0.000440491,1,1
0.0855935,2,0.00203307,1,2
0.0442668,2,0.00103365,1,3
0.0452655,2,0.0010235,1,4
0.0633496,2,0.00115493,1,5
0.0645987,2,0.00150854,1,6
0.00653042,2,0.000148154,1,7
0.066492,2,0.000975975,1,8
0.111236,2,0.00231522,1,9
0.0633364,2,0.0013124,1,10
0.0839611,2,0.00199794,1,11
0.0559387,2,0.00124917,1,12
0.0741653,2,0.00114569,1,13
0.0752035,2,0.00169655,1,14
0.141115,2,0.0028782,1,15
0.0108355,3,0.000497644,1,1
0.0493171,3,0.00231409,1,2
0.0293324,3,0.00135305,1,3
0.0322632,3,0.00144111,1,4
0.0336852,3,0.00121317,1,5
0.131925,3,0.00608599,1,6
0.00201338,3,9.02341e-05,1,7
0.0992398,3,0.00287757,1,8
0.0110619,3,0.000454827,1,9
0.0905349,3,0.00370596,1,10
0.0142092,3,0.000667952,1,11
0.0631333,3,0.00278508,1,12
0.0127987,3,0.000390574,1,13
0.211125,3,0.00940892,1,14
0.208525,3,0.00840188,1,15
0.0955026,4,0.000531011,1,1
1.06862e-07,4,6.07047e-10,1,2
7.33898e-06,4,4.09845e-08,1,3
1.89873e-06,4,1.02677e-08,1,4
8.91157e-06,4,3.88557e-08,1,5
0.000915133,4,5.111e-06,1,6
0.000521269,4,2.82829e-06,1,7
0.340392,4,0.00119492,1,8
0.41576,4,0.00206955,1,9
0.131301,4,0.000650685,1,10
9.51757e-06,4,5.4165e-08,1,11
0.0137803,4,7.35959e-05,1,12
0.00014777,4,5.45934e-07,1,13
0.000279098,4,1.50582e-06,1,14
0.00137278,4,6.69634e-06,1,15
0.00745549,5,0.000100452,1,1
0.000709677,5,9.76908e-06,1,2
0.000304363,5,4.11879e-06,1,3
8.78339e-06,5,1.15097e-07,1,4
8.85062e-06,5,9.35121e-08,1,5
4.36413e-06,5,5.90626e-08,1,6
3.82961e-05,5,5.03512e-07,1,7
1.42399e-06,5,1.21132e-08,1,8
0.984485,5,0.0118751,1,9
6.06832e-06,5,7.28725e-08,1,10
9.02409e-05,5,1.24448e-06,1,11
0.00122424,5,1.58437e-05,1,12
2.71189e-05,5,2.42784e-07,1,13
0.000130566,5,1.70702e-06,1,14
0.0055056,5,6.5078e-05,1,15
1.70007e-07,6,3.995e-11,1,1
6.34959e-10,6,1.52443e-13,1,2
8.76845e-08,6,2.06951e-11,1,3
6.31573e-05,6,1.44342e-08,1,4
2.83619e-08,6,5.22634e-12,1,5
1.82572e-05,6,4.30941e-09,1,6
4.48964e-09,6,1.02952e-12,1,7
2.7568e-05,6,4.09002e-09,1,8
0.999811,6,0.000210336,1,9
2.03855e-10,6,4.26958e-14,1,10
1.25647e-10,6,3.02208e-14,1,11
3.9447e-11,6,8.90374e-15,1,12
1.3327e-06,6,2.0809e-10,1,13
7.84831e-05,6,1.61798e-08,1,15
0.108097,7,0.000638565,1,1
0.0642187,7,0.000387581,1,2
0.0597753,7,0.000354656,1,3
0.0740658,7,0.000425528,1,4
0.0948141,7,0.000439214,1,5
0.0227531,7,0.000135009,1,6
0.0711913,7,0.000410385,1,7
0.018421,7,6.87026e-05,1,8
0.143736,7,0.000760155,1,9
0.0322625,7,0.000169865,1,10
0.0103078,7,6.23249e-05,1,11
0.0293847,7,0.000166732,1,12
0.0578123,7,0.000226923,1,13
0.178861,7,0.00102526,1,14
0.0342991,7,0.000177755,1,15
0.0442995,8,0.00641176,1,1
